"id","bee_species","bee_genus","bee_tribe","bee_family","interactionTypeName","plant_species","plant_genus","plant_family","x","y","coordinated","plant_level","database","sourceCitation","referenceCitation","referenceDoi","referenceUrl","sourceArchiveURI","sourceDOI","sourceCatalogNumber","sourceInstitutionCode","sourceCollectionCode","taxonomy_status","bee_endemic","plant_endemic"
"1_globi","Lasioglossum sandhousiellum","Lasioglossum","Halictini","Halictidae","hashost","Rosa nutkana","Rosa","Rosaceae",-122.256,47.683,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5598752","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2405990","wsu","wsuc","not_in_checklist",FALSE,FALSE
"2_globi","Lasioglossum sandhousiellum","Lasioglossum","Halictini","Halictidae","hashost","Holodiscus discolor","Holodiscus","Rosaceae",-122.758,45.668,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5608704","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2434159","wsu","wsuc","not_in_checklist",FALSE,FALSE
"3_globi","Lasioglossum sandhousiellum","Lasioglossum","Halictini","Halictidae","hashost","Gilia capitata","Gilia","Polemoniaceae",-122.661,45.643,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5605254","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2427030","wsu","wsuc","not_in_checklist",FALSE,FALSE
"4_globi","Lasioglossum sandhousiellum","Lasioglossum","Halictini","Halictidae","hashost","Clematis ligusticifolia","Clematis","Ranunculaceae",-120.727,46.864,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5595048","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2313024","wsu","wsuc","not_in_checklist",FALSE,FALSE
"5_globi","Lasioglossum sandhousiellum","Lasioglossum","Halictini","Halictidae","hashost","Cuphea ignea","Cuphea","Lythraceae",-122.493,45.622,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5609780","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2438131","wsu","wsuc","not_in_checklist",FALSE,FALSE
"6_globi","Lasioglossum sandhousiellum","Lasioglossum","Halictini","Halictidae","hashost","Microseris troximoides","Microseris","Asteraceae",-120.21,47.04,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5594779","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2312755","wsu","wsuc","not_in_checklist",FALSE,FALSE
"7_globi","Lasioglossum sandhousiellum","Lasioglossum","Halictini","Halictidae","hashost","Cuphea ignea","Cuphea","Lythraceae",-122.493,45.622,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5609774","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2438125","wsu","wsuc","not_in_checklist",FALSE,FALSE
"8_globi","Lasioglossum yukonae","Lasioglossum","Halictini","Halictidae","hashost","Sisymbrium altissimum","Sisymbrium","Brassicaceae",-123.049,48.1,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5596540","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2330954","wsu","wsuc","not_in_checklist",TRUE,FALSE
"9_globi","Lasioglossum yukonae","Lasioglossum","Halictini","Halictidae","hashost","Sisymbrium altissimum","Sisymbrium","Brassicaceae",-123.049,48.1,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5596539","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2330953","wsu","wsuc","not_in_checklist",TRUE,FALSE
"10_globi","Lasioglossum yukonae","Lasioglossum","Halictini","Halictidae","hashost","Sisymbrium altissimum","Sisymbrium","Brassicaceae",-123.049,48.1,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5596537","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2330951","wsu","wsuc","not_in_checklist",TRUE,FALSE
"11_globi","Lasioglossum yukonae","Lasioglossum","Halictini","Halictidae","hashost","Epilobium angustifolium","Epilobium","Onagraceae",-123.05,48.101,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=5596543","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","wsda_2330957","wsu","wsuc","not_in_checklist",TRUE,FALSE
"12_globi","Ptilothrix chiricahua","Ptilothrix","Emphorini","Apidae","interactswith","Malvella lepidota","Malvella","Malvaceae",-109.51418,32.12637,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=4488274","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","","ua","rlmc","corrected",NA,FALSE
"13_globi","Ptilothrix chiricahua","Ptilothrix","Emphorini","Apidae","interactswith","Malvella lepidota","Malvella","Malvaceae",-109.51418,32.12637,TRUE,"species_level","Ecdysis ","ecdysis - a portal for live-managing arthropod occurrence data","https://ecdysis.org/collections/individual/index.php?occid=4488272","",NA,"https://github.com/globalbioticinteractions/ecdysis/archive/a322ee67d84be8eb2dccee0af9cb3d14aa8d6077.zip","","","ua","rlmc","corrected",NA,FALSE
