scientificName,plant_sp,plant_gen,plant_fam
Apis mellifera,4064,1675,217
Bombus terrestris,1485,549,114
Bombus impatiens,1248,642,131
Osmia mustelina,960,259,10
Bombus pascuorum,949,427,92
Bombus vosnesenskii,873,485,91
Hylaeus communis,860,294,36
Bombus griseocollis,849,465,105
Lasioglossum marginatum,848,244,21
Lasioglossum interruptum,818,264,26
Hylaeus punctatus,816,274,23
Lasioglossum majus,794,222,10
Osmia rufohirta,792,262,21
Hylaeus annulatus,785,271,28
Hylaeus hyalinatus,773,267,22
Lasioglossum lineare,763,225,17
Hylaeus confusus,761,261,19
Hylaeus punctulatissimus,757,247,7
Hylaeus brevicornis,756,258,13
Hylaeus leptocephalus,755,268,20
Hylaeus kotschisus,749,251,8
Hylaeus signatus,748,253,9
Hylaeus bifasciatus,747,250,7
Hylaeus gibbus,747,252,9
Hylaeus taeniolatus,746,252,9
Hylaeus dilatatus,745,251,8
Hylaeus gredleri,745,252,9
Hylaeus moricei,744,248,5
Hylaeus sinuatus,742,249,6
Hylaeus variegatus,742,253,12
Hylaeus clypearis,741,250,10
Hylaeus difformis,741,250,10
Hylaeus paulus,740,246,6
Hylaeus styriacus,740,247,5
Hylaeus kahri,739,245,5
Hylaeus angustatus,738,247,7
Hylaeus incongruus,737,248,7
Halictus subauratus,736,252,25
Hylaeus tyrolensis,735,246,6
Bombus melanopygus,730,425,87
Hylaeus pictipes,726,247,10
Hylaeus pectoralis,723,238,6
Hylaeus cornutus,719,241,6
Bombus lapidarius,710,313,74
Xylocopa virginica,710,430,112
Hylaeus imparilis,700,237,9
Bombus pensylvanicus,664,398,101
Bombus pratorum,664,282,74
Lasioglossum nitidiusculum,664,243,12
Halictus ligatus,658,375,77
Bombus bimaculatus,631,384,95
Lasioglossum nigripes,615,202,11
Halictus rubicundus,593,321,76
Lasioglossum glabriusculum,585,188,23
Bombus lucorum,583,353,87
Nomada bifasciata,546,148,10
Lasioglossum sexstrigatum,543,145,8
Halictus confusus,524,262,62
Lasioglossum minutulum,506,170,8
Bombus fervidus,503,295,69
Lasioglossum bluethgeni,497,178,6
Halictus scabiosae,496,187,37
Bombus flavifrons,491,276,62
Bombus mixtus,485,307,71
Bombus hortorum,483,255,68
Halictus tripartitus,480,307,68
Bombus rufocinctus,461,287,65
Bombus hypnorum,457,255,74
Lasioglossum subhirtum,454,173,22
Lasioglossum albocinctum,452,170,12
Osmia viridana,442,142,7
Bombus bifarius,439,248,58
Bombus vagans,434,288,68
Bombus huntii,414,283,68
Hoplitis robusta,412,110,7
Augochlora pura,406,300,86
Osmia bicornis,393,125,48
Bombus ternarius,392,286,70
Lasioglossum tricinctum,384,104,10
Augochlorella aurata,376,280,80
Andrena humilis,374,115,12
Lasioglossum laeve,370,132,4
Agapostemon virescens,347,236,64
Bombus californicus,337,230,60
Andrena wilkella,336,137,41
Osmia spinulosa,335,117,11
Pseudapis diversipes,331,117,16
Bombus perplexus,329,260,75
Heriades truncorum,329,114,8
Apis cerana,327,294,99
Colletes daviesanus,325,113,10
Anthidium manicatum,324,182,40
Bombus cryptarum,324,144,39
Osmia leaiana,322,108,7
Colletes similis,321,110,9
Dasypoda hirtipes,321,108,8
Andrena hesperia,319,105,4
Osmia niveata,319,112,9
Lasioglossum pauperatum,318,108,7
Lithurgus chrysurus,318,102,3
Colletes fodiens,317,105,4
Megachile melanopyga,317,106,6
Panurgus calcaratus,317,107,5
Heriades crenulata,316,108,8
Lasioglossum calceatum,314,154,41
Panurgus banksianus,313,105,6
Andrena pellucens,312,102,3
Andrena rhenana,312,102,3
Andrena livens,311,101,2
Nomada femoralis,311,105,7
Nomada distinguenda,310,104,6
Andrena denticulata,309,100,5
Eucera nigrifacies,309,100,1
Heriades rubicola,309,101,1
Lasioglossum discus,306,101,6
Nomada integra,306,99,1
Panurgus dentipes,305,98,1
Nomada signata,304,99,1
Andrena taraxaci,301,95,2
Andrena polita,300,97,2
Osmia labialis,300,95,1
Andrena florivaga,299,88,5
Lasioglossum leucozonium,298,180,52
Anthophora urbana,297,184,50
Andrena nigroolivacea,296,99,3
Halictus seladonius,291,96,1
Andrena flavipes,284,177,49
Bombus argillaceus,281,94,21
Melissodes bimaculatus,281,219,56
Dufourea minuta,280,91,1
Bombus centralis,271,192,53
Anthophora aestivalis,267,76,12
Bombus vancouverensis,266,193,51
Bombus nevadensis,259,171,50
Xylocopa tabaniformis,258,209,67
Bombus occidentalis,256,204,52
Osmia scutellaris,256,82,2
Lasioglossum griseolum,253,67,9
Lasioglossum tarsatum,252,81,1
Nomada pleurosticta,251,80,1
Megachile mendica,243,180,46
Lasioglossum morio,235,133,38
Bombus terricola,234,208,61
Agapostemon splendens,229,175,61
Bombus sonorus,229,184,55
Bombus humilis,227,122,33
Lasioglossum pauxillum,227,127,35
Anthophora dispar,219,77,11
Ceratina calcarata,217,188,62
Bombus vestalis,216,129,46
Ceratina nanula,216,149,42
Bombus flavidus,214,140,41
Xylocopa violacea,214,142,53
Andrena labialis,210,67,13
Bombus auricomus,210,163,55
Andrena bicolor,208,104,38
Lasioglossum sisymbrii,206,166,53
Agapostemon texanus,203,174,53
Bombus fraternus,203,164,54
Megachile rotundata,203,103,32
Bombus borealis,202,170,47
Bombus insularis,199,156,44
Lasioglossum pygmaeum,196,91,16
Anthidium oblongatum,194,88,18
Halictus tumulorum,194,117,35
Halictus farinosus,192,146,46
Lasioglossum malachurum,192,131,39
Andrena haemorrhoa,189,103,40
Ceratina acantha,188,155,49
Megachile analis,188,42,2
Megachile ericetorum,186,60,9
Megachile sculpturalis,186,125,42
Hylaeus mesillae,184,153,44
Melitta leporina,182,51,9
Anthophora plumipes,180,114,42
Bombus sylvarum,180,109,34
Hoplitis ravouxi,179,45,3
Xylocopa micans,177,156,53
Anthophora terminalis,176,128,42
Xylocopa sonorina,175,167,63
Andrena canadensis,174,50,8
Bombus muscorum,174,105,33
Hylaeus modestus,174,148,46
Anthidium loti,168,46,3
Bombus appositus,168,112,34
Megachile latimanus,167,119,35
Osmia uncinata,167,42,7
Bombus sitkensis,165,137,47
Bombus citrinus,163,122,37
Osmia gallarum,163,39,2
Agapostemon angelicus,162,141,41
Bombus sylvestris,161,85,36
Andrena nigroaenea,160,103,42
Bombus ruderatus,160,111,41
Megachile nigriventris,159,37,2
Megachile pyrenaica,159,41,4
Osmia inermis,159,41,8
Andrena prunorum,158,125,46
Andrena cressonii,157,118,43
Andrena intermedia,155,36,1
Megachile brevis,155,131,37
Osmia cornuta,155,55,29
Apis florea,154,171,60
Megachile perihirta,154,118,32
