"bee_family","bee_tribe","globi_record_count","globi_num_sp","globi_num_genera","globi_percent_records","globi_percent_sp","globi_percent_genera","of_global_sp","of_global_gen"
"Halictidae","Halictini",130070,590,13,13.2456603074191,10.6555896694961,3.58126721763085,20.6510325516276,59.0909090909091
"Andrenidae","Andrenini",82124,571,4,8.36308608508099,10.3124435614954,1.10192837465565,34.4390832328106,66.6666666666667
"Megachilidae","Megachilini",29961,371,4,3.05107425594359,6.70037926675095,1.10192837465565,18.5129740518962,57.1428571428571
"Andrenidae","Panurgini",39366,342,11,4.00883111910402,6.176629944013,3.03030303030303,40,55
"Megachilidae","Osmiini",42959,337,10,4.37472377294085,6.08632833664439,2.75482093663912,30.3877366997295,71.4285714285714
"Apidae","Eucerini",50058,326,22,5.09764944774955,5.88766480043345,6.06060606060606,42.2279792746114,51.1627906976744
"Megachilidae","Anthidiini",15540,256,29,1.58251373243094,4.62344229727289,7.98898071625344,27.8563656147987,64.4444444444444
"Colletidae","None",16533,230,8,1.68363574892411,4.15387393895611,2.20385674931129,25.3025302530253,29.6296296296296
"Apidae","Anthophorini",17833,227,5,1.81602106759594,4.09969297453495,1.37741046831956,29.9472295514512,55.5555555555556
"Colletidae","Hylaeini",34227,190,4,3.48550177090822,3.43146108000722,1.10192837465565,19.6687370600414,50
"Apidae","Meliponini",7961,165,33,0.810707324574177,2.97995304316417,9.09090909090909,28.6458333333333,73.3333333333333
"Apidae","Bombini",292797,161,1,29.816941654735,2.90771175726928,0.275482093663912,54.3918918918919,100
"Apidae","Nomadini",8947,157,1,0.911116497043734,2.83547047137439,0.275482093663912,19.5760598503741,100
"Halictidae","Nomiini",2844,131,15,0.289618343309755,2.36590211305761,4.13223140495868,21.3008130081301,62.5
"Apidae","Ceratinini",29838,107,1,3.03854856810003,1.93245439768828,0.275482093663912,28.5333333333333,100
"Apidae","Xylocopini",18536,104,1,1.88761097453925,1.87827343326711,0.275482093663912,27.6595744680851,100
"Apidae","Epeolini",4020,101,5,0.409376139277502,1.82409246884595,1.37741046831956,30.8868501529052,62.5
"Apidae","Centridini",2951,89,2,0.300514673385052,1.60736861116128,0.550964187327824,25.5014326647564,66.6666666666667
"Andrenidae","Protandrenini",2745,84,9,0.279536692118593,1.51706700379267,2.47933884297521,19.0909090909091,52.9411764705882
"Halictidae","Rophitini",4954,83,9,0.504489899000185,1.49900668231895,2.47933884297521,32.421875,81.8181818181818
"Andrenidae","Calliopsini",7304,80,8,0.743801821214646,1.44482571789778,2.20385674931129,58.3941605839416,80
"Apidae","Allodapini",515,80,11,0.0524449531661477,1.44482571789778,3.03030303030303,31.496062992126,78.5714285714286
